date,idIBC,GI_name,kpi_id,KPI_name,unit,result,kpi_score,firmware_version
2017-01-19,270,GI#1,1,1_Start-up time,minutes,165.18333333333334,0,NA
2017-01-25,270,GI#1,1,1_Start-up time,minutes,42.1,0,NA
2017-01-26,270,GI#1,1,1_Start-up time,minutes,79.4,0,201701252
2017-01-26,270,GI#1,1,1_Start-up time,minutes,79.4,0,201701261
2017-01-30,270,GI#1,1,1_Start-up time,minutes,123.2,0,201701271
2017-01-31,270,GI#1,1,1_Start-up time,minutes,143.55,0,201701311
2017-02-01,270,GI#1,1,1_Start-up time,minutes,95.1,0,201701312
2017-02-01,270,GI#1,1,1_Start-up time,minutes,95.1,0,201702011
2017-02-01,270,GI#1,1,1_Start-up time,minutes,95.1,0,201702012
2017-02-02,270,GI#1,1,1_Start-up time,minutes,411.31666666666666,0,201702014
2017-02-03,270,GI#1,1,1_Start-up time,minutes,11.033333333333333,0,201702022
2017-02-08,270,GI#1,1,1_Start-up time,minutes,44.483333333333334,0,201702031
2017-02-10,270,GI#1,1,1_Start-up time,minutes,77.73333333333333,0,NA
2017-02-13,270,GI#1,1,1_Start-up time,minutes,70.08333333333333,0,NA
2017-02-14,270,GI#1,1,1_Start-up time,minutes,331.1166666666667,0,201702131
2017-02-15,270,GI#1,1,1_Start-up time,minutes,68.28333333333333,0,201702151
2017-02-16,270,GI#1,1,1_Start-up time,minutes,60.2,0,201702152
2017-02-17,270,GI#1,1,1_Start-up time,minutes,26.866666666666667,0,201702162
2017-02-28,270,GI#1,1,1_Start-up time,minutes,2.15,8,NA
2017-03-01,270,GI#1,1,1_Start-up time,minutes,35.35,0,201702283
2017-03-06,270,GI#1,1,1_Start-up time,minutes,127.68333333333334,0,201703061
2017-03-08,270,GI#1,1,1_Start-up time,minutes,69.01666666666667,0,201703071
2017-03-09,270,GI#1,1,1_Start-up time,minutes,69.23333333333333,0,201703071
2017-03-10,270,GI#1,1,1_Start-up time,minutes,60.75,0,201703071
2017-03-22,270,GI#1,1,1_Start-up time,minutes,83.31666666666666,0,201703201
2017-03-24,270,GI#1,1,1_Start-up time,minutes,179.41666666666666,0,NA
2017-03-27,270,GI#1,1,1_Start-up time,minutes,163.51666666666668,0,NA
2017-04-05,270,GI#1,1,1_Start-up time,minutes,263.9,0,201704052
2017-04-06,270,GI#1,1,1_Start-up time,minutes,17.3,0,201704061
2017-04-07,270,GI#1,1,1_Start-up time,minutes,77.73333333333333,0,201704071
2017-04-10,270,GI#1,1,1_Start-up time,minutes,66.6,0,201704071
2017-04-11,270,GI#1,1,1_Start-up time,minutes,14.916666666666666,0,201704071
2017-04-12,270,GI#1,1,1_Start-up time,minutes,10.6,0,201704111
2017-04-13,270,GI#1,1,1_Start-up time,minutes,192.51666666666668,0,201704121
2017-04-13,270,GI#1,1,1_Start-up time,minutes,192.51666666666668,0,201704131
2017-04-17,270,GI#1,1,1_Start-up time,minutes,12.516666666666667,0,201704133
2017-04-18,270,GI#1,1,1_Start-up time,minutes,15,0,201704171
2017-04-19,270,GI#1,1,1_Start-up time,minutes,16.95,0,201704181
2017-04-20,270,GI#1,1,1_Start-up time,minutes,16.716666666666665,0,201704191
2017-04-21,270,GI#1,1,1_Start-up time,minutes,22.666666666666668,0,201704201
2017-04-24,270,GI#1,1,1_Start-up time,minutes,15.95,0,201704201
2017-04-25,270,GI#1,1,1_Start-up time,minutes,108,0,201704201
2017-04-26,270,GI#1,1,1_Start-up time,minutes,12.35,0,201704201
2017-04-27,270,GI#1,1,1_Start-up time,minutes,235.65,0,201704261
2017-04-27,270,GI#1,1,1_Start-up time,minutes,235.65,0,201704272
2017-04-28,270,GI#1,1,1_Start-up time,minutes,9.116666666666667,1,201704273
2017-05-02,270,GI#1,1,1_Start-up time,minutes,137.21666666666667,0,201705011
2017-05-03,270,GI#1,1,1_Start-up time,minutes,36.266666666666666,0,NA
2017-05-04,270,GI#1,1,1_Start-up time,minutes,147.6,0,201705033
2017-05-04,270,GI#1,1,1_Start-up time,minutes,147.6,0,201705041
2017-05-05,270,GI#1,1,1_Start-up time,minutes,181.98333333333332,0,201705042
2017-05-08,270,GI#1,1,1_Start-up time,minutes,10.483333333333333,0,201705054
2017-05-08,273,GI#3,1,1_Start-up time,minutes,144.4,0,201705081
2017-05-08,273,GI#3,1,1_Start-up time,minutes,144.4,0,201705082
2017-05-09,270,GI#1,1,1_Start-up time,minutes,17.516666666666666,0,201705084
2017-05-09,273,GI#3,1,1_Start-up time,minutes,231.08333333333334,0,201705083
2017-05-10,273,GI#3,1,1_Start-up time,minutes,98.68333333333334,0,201705101
2017-05-10,273,GI#3,1,1_Start-up time,minutes,98.68333333333334,0,201705102
2017-05-12,270,GI#1,1,1_Start-up time,minutes,64.46666666666667,0,NA
2017-05-12,273,GI#3,1,1_Start-up time,minutes,27.8,0,201705104
2017-05-18,273,GI#3,1,1_Start-up time,minutes,73.51666666666667,0,201705181
2017-05-19,273,GI#3,1,1_Start-up time,minutes,100.31666666666666,0,201705183
2017-05-23,273,GI#3,1,1_Start-up time,minutes,5.25,5,201705223
2017-05-24,273,GI#3,1,1_Start-up time,minutes,9.466666666666667,1,201705231
2017-05-30,273,GI#3,1,1_Start-up time,minutes,179.31666666666666,0,201705251
2017-06-07,270,GI#1,1,1_Start-up time,minutes,268.8833333333333,0,NA
2017-06-08,270,GI#1,1,1_Start-up time,minutes,4.883333333333334,6,NA
2017-06-09,270,GI#1,1,1_Start-up time,minutes,7.316666666666666,3,201706081
2017-06-12,270,GI#1,1,1_Start-up time,minutes,3.933333333333333,7,201706092
2017-06-12,273,GI#3,1,1_Start-up time,minutes,3.7666666666666666,7,NA
2017-06-13,270,GI#1,1,1_Start-up time,minutes,6.3,4,201706092
2017-06-14,270,GI#1,1,1_Start-up time,minutes,4.783333333333333,6,201706131
2017-06-15,270,GI#1,1,1_Start-up time,minutes,7.5,3,201706142
2017-06-21,270,GI#1,1,1_Start-up time,minutes,38.1,0,201706161
2017-06-22,270,GI#1,1,1_Start-up time,minutes,6.25,4,201706211
2017-06-23,270,GI#1,1,1_Start-up time,minutes,77.55,0,201706221
2017-06-26,270,GI#1,1,1_Start-up time,minutes,11.716666666666667,0,201706231
2017-06-27,270,GI#1,1,1_Start-up time,minutes,20.25,0,201706261
2017-06-28,270,GI#1,1,1_Start-up time,minutes,3.2666666666666666,7,NA
2017-06-30,270,GI#1,1,1_Start-up time,minutes,10.633333333333333,0,201706271
2017-06-30,273,GI#3,1,1_Start-up time,minutes,0.5333333333333333,10,NA
2017-07-03,270,GI#1,1,1_Start-up time,minutes,6.666666666666667,4,201706271
2017-07-05,270,GI#1,1,1_Start-up time,minutes,9.383333333333333,1,201707031
2017-07-06,273,GI#3,1,1_Start-up time,minutes,99.2,0,201707031
2017-07-06,270,GI#1,1,1_Start-up time,minutes,7.4,3,201707031
2017-07-07,270,GI#1,1,1_Start-up time,minutes,196,0,201707061
2017-07-07,273,GI#3,1,1_Start-up time,minutes,149.7,0,201707031
2017-07-08,273,GI#3,1,1_Start-up time,minutes,127.45,0,201707031
2017-07-10,270,GI#1,1,1_Start-up time,minutes,193.68333333333334,0,201707081
2017-07-11,273,GI#3,1,1_Start-up time,minutes,164.18333333333334,0,201707031
2017-07-11,270,GI#1,1,1_Start-up time,minutes,5.616666666666666,5,201707101
2017-07-12,273,GI#3,1,1_Start-up time,minutes,355.85,0,201707031
2017-07-12,270,GI#1,1,1_Start-up time,minutes,8.1,2,201707111
2017-07-12,270,GI#1,1,1_Start-up time,minutes,8.1,2,201707121
2017-07-13,273,GI#3,1,1_Start-up time,minutes,148.38333333333333,0,201707031
2017-07-13,270,GI#1,1,1_Start-up time,minutes,4.483333333333333,6,201707122
2017-07-14,273,GI#3,1,1_Start-up time,minutes,115.51666666666667,0,201707031
2017-07-17,270,GI#1,1,1_Start-up time,minutes,6.383333333333334,4,201707132
2017-07-18,270,GI#1,1,1_Start-up time,minutes,5.483333333333333,5,201707171
2017-07-19,270,GI#1,1,1_Start-up time,minutes,5.35,5,201707181
2017-07-20,270,GI#1,1,1_Start-up time,minutes,6.3,4,201707181
2017-07-22,273,GI#3,1,1_Start-up time,minutes,102.08333333333333,0,NA
2017-07-24,273,GI#3,1,1_Start-up time,minutes,380.35,0,201707031
2017-07-25,273,GI#3,1,1_Start-up time,minutes,113.41666666666667,0,NA
2017-07-26,273,GI#3,1,1_Start-up time,minutes,85.16666666666667,0,201707031
2017-07-26,270,GI#1,1,1_Start-up time,minutes,0.8666666666666667,10,201707191
2017-07-27,273,GI#3,1,1_Start-up time,minutes,180.98333333333332,0,201707031
2017-07-28,273,GI#3,1,1_Start-up time,minutes,350.28333333333336,0,201707031
2017-07-29,273,GI#3,1,1_Start-up time,minutes,233.15,0,201707031
2017-07-31,273,GI#3,1,1_Start-up time,minutes,254.36666666666667,0,201707031
2017-08-02,273,GI#3,1,1_Start-up time,minutes,154.45,0,201707031
2017-08-07,270,GI#1,1,1_Start-up time,minutes,8.933333333333334,2,201708031
2017-08-09,270,GI#1,1,1_Start-up time,minutes,4.3,6,201708082
2017-08-10,270,GI#1,1,1_Start-up time,minutes,3.9833333333333334,7,201708091
2017-08-11,273,GI#3,1,1_Start-up time,minutes,6.083333333333333,4,201708031
2017-08-11,270,GI#1,1,1_Start-up time,minutes,4.883333333333334,6,201708091
2017-08-14,287,GI#4,1,1_Start-up time,minutes,7.5,3,201708082
2017-08-15,270,GI#1,1,1_Start-up time,minutes,3.9,7,201708091
2017-08-16,270,GI#1,1,1_Start-up time,minutes,4.566666666666666,6,201708091
2017-08-16,273,GI#3,1,1_Start-up time,minutes,3.1,7,201708082
2017-08-17,273,GI#3,1,1_Start-up time,minutes,5.05,5,201708082
2017-08-17,270,GI#1,1,1_Start-up time,minutes,4.283333333333333,6,201708161
2017-08-18,270,GI#1,1,1_Start-up time,minutes,4.433333333333334,6,201708171
2017-08-21,270,GI#1,1,1_Start-up time,minutes,5.85,5,201708171
2017-08-23,273,GI#3,1,1_Start-up time,minutes,9.616666666666667,1,201708082
2017-08-29,273,GI#3,1,1_Start-up time,minutes,9.633333333333333,1,NA
2017-09-08,270,GI#1,1,1_Start-up time,minutes,4.35,6,NA
2017-09-11,270,GI#1,1,1_Start-up time,minutes,11.466666666666667,0,201708171
2017-09-12,270,GI#1,1,1_Start-up time,minutes,11.533333333333333,0,201709111
2017-09-13,270,GI#1,1,1_Start-up time,minutes,9.083333333333334,1,201709111
2017-09-14,270,GI#1,1,1_Start-up time,minutes,4.3,6,201709111
2017-09-14,270,GI#1,1,1_Start-up time,minutes,4.3,6,201709141
2017-09-20,270,GI#1,1,1_Start-up time,minutes,8.116666666666667,2,201709151
2017-09-21,270,GI#1,1,1_Start-up time,minutes,6.666666666666667,4,201709201
2017-09-25,270,GI#1,1,1_Start-up time,minutes,4.333333333333333,6,201709221
2017-09-27,270,GI#1,1,1_Start-up time,minutes,6.4,4,201709221
2017-09-28,270,GI#1,1,1_Start-up time,minutes,5.4,5,201709221
2017-09-29,270,GI#1,1,1_Start-up time,minutes,5.3,5,NA
2017-10-02,270,GI#1,1,1_Start-up time,minutes,2.783333333333333,8,201709221
2017-10-04,270,GI#1,1,1_Start-up time,minutes,6.266666666666667,4,201710031
2017-10-05,270,GI#1,1,1_Start-up time,minutes,4.7,6,201710041
2017-10-06,270,GI#1,1,1_Start-up time,minutes,1.9833333333333334,9,201710051
2017-10-09,270,GI#1,1,1_Start-up time,minutes,3.433333333333333,7,201710051
2017-10-10,270,GI#1,1,1_Start-up time,minutes,1.95,9,201710051
2017-10-12,270,GI#1,1,1_Start-up time,minutes,1.9333333333333333,9,201710101
2017-10-16,270,GI#1,1,1_Start-up time,minutes,5.45,5,201710121
2017-01-19,270,GI#1,2,2_Water temperature,minutes,165.18333333333334,0,NA
2017-01-25,270,GI#1,2,2_Water temperature,minutes,72.08333333333333,5,NA
2017-01-26,270,GI#1,2,2_Water temperature,minutes,79.4,5,201701252
2017-01-26,270,GI#1,2,2_Water temperature,minutes,79.4,5,201701261
2017-01-30,270,GI#1,2,2_Water temperature,minutes,123.2,0,201701271
2017-01-31,270,GI#1,2,2_Water temperature,minutes,173.73333333333332,0,201701311
2017-02-01,270,GI#1,2,2_Water temperature,minutes,122.71666666666667,0,201701312
2017-02-01,270,GI#1,2,2_Water temperature,minutes,122.71666666666667,0,201702011
2017-02-01,270,GI#1,2,2_Water temperature,minutes,122.71666666666667,0,201702012
2017-02-02,270,GI#1,2,2_Water temperature,minutes,411.31666666666666,0,201702014
2017-02-03,270,GI#1,2,2_Water temperature,minutes,127.38333333333334,0,201702022
2017-02-08,270,GI#1,2,2_Water temperature,minutes,165.03333333333333,0,201702031
2017-02-10,270,GI#1,2,2_Water temperature,minutes,194.56666666666666,0,NA
2017-02-13,270,GI#1,2,2_Water temperature,minutes,78.08333333333333,5,NA
2017-02-14,270,GI#1,2,2_Water temperature,minutes,331.3,0,201702131
2017-02-15,270,GI#1,2,2_Water temperature,minutes,145.86666666666667,0,201702151
2017-02-16,270,GI#1,2,2_Water temperature,minutes,125.75,0,201702152
2017-02-17,270,GI#1,2,2_Water temperature,minutes,75.86666666666666,5,201702162
2017-03-01,270,GI#1,2,2_Water temperature,minutes,107.21666666666667,2,201702283
2017-03-06,270,GI#1,2,2_Water temperature,minutes,127.68333333333334,0,201703061
2017-03-08,270,GI#1,2,2_Water temperature,minutes,92.46666666666667,3,201703071
2017-03-09,270,GI#1,2,2_Water temperature,minutes,94.3,3,201703071
2017-03-10,270,GI#1,2,2_Water temperature,minutes,94.23333333333333,3,201703071
2017-03-22,270,GI#1,2,2_Water temperature,minutes,113.86666666666666,1,201703201
2017-03-24,270,GI#1,2,2_Water temperature,minutes,292.75,0,NA
2017-03-27,270,GI#1,2,2_Water temperature,minutes,163.51666666666668,0,NA
2017-04-05,270,GI#1,2,2_Water temperature,minutes,267.95,0,201704052
2017-04-06,270,GI#1,2,2_Water temperature,minutes,21.333333333333332,10,201704061
2017-04-07,270,GI#1,2,2_Water temperature,minutes,109.18333333333334,2,201704071
2017-04-10,270,GI#1,2,2_Water temperature,minutes,187.15,0,201704071
2017-04-13,270,GI#1,2,2_Water temperature,minutes,277.0833333333333,0,201704121
2017-04-13,270,GI#1,2,2_Water temperature,minutes,277.0833333333333,0,201704131
2017-04-19,270,GI#1,2,2_Water temperature,minutes,21,10,201704181
2017-04-20,270,GI#1,2,2_Water temperature,minutes,22.783333333333335,10,201704191
2017-04-21,270,GI#1,2,2_Water temperature,minutes,93.85,3,201704201
2017-04-24,270,GI#1,2,2_Water temperature,minutes,20.2,10,201704201
2017-04-25,270,GI#1,2,2_Water temperature,minutes,172.4,0,201704201
2017-04-26,270,GI#1,2,2_Water temperature,minutes,22.183333333333334,10,201704201
2017-04-27,270,GI#1,2,2_Water temperature,minutes,261.43333333333334,0,201704261
2017-04-27,270,GI#1,2,2_Water temperature,minutes,261.43333333333334,0,201704272
2017-04-28,270,GI#1,2,2_Water temperature,minutes,51.63333333333333,7,201704273
2017-05-02,270,GI#1,2,2_Water temperature,minutes,149.63333333333333,0,201705011
2017-05-03,270,GI#1,2,2_Water temperature,minutes,61.43333333333333,6,NA
2017-05-04,270,GI#1,2,2_Water temperature,minutes,170.4,0,201705033
2017-05-04,270,GI#1,2,2_Water temperature,minutes,170.4,0,201705041
2017-05-05,270,GI#1,2,2_Water temperature,minutes,185.98333333333332,0,201705042
2017-05-08,270,GI#1,2,2_Water temperature,minutes,131.1,0,201705054
2017-05-08,273,GI#3,2,2_Water temperature,minutes,174.81666666666666,0,201705081
2017-05-08,273,GI#3,2,2_Water temperature,minutes,174.81666666666666,0,201705082
2017-05-09,270,GI#1,2,2_Water temperature,minutes,138.08333333333334,0,201705084
2017-05-09,273,GI#3,2,2_Water temperature,minutes,240.91666666666666,0,201705083
2017-05-10,273,GI#3,2,2_Water temperature,minutes,116.88333333333334,1,201705101
2017-05-10,273,GI#3,2,2_Water temperature,minutes,116.88333333333334,1,201705102
2017-05-12,270,GI#1,2,2_Water temperature,minutes,159.65,0,NA
2017-05-12,273,GI#3,2,2_Water temperature,minutes,97.11666666666666,3,201705104
2017-05-18,273,GI#3,2,2_Water temperature,minutes,98.66666666666667,3,201705181
2017-05-19,273,GI#3,2,2_Water temperature,minutes,104.3,2,201705183
2017-05-23,273,GI#3,2,2_Water temperature,minutes,80.03333333333333,4,201705223
2017-05-24,273,GI#3,2,2_Water temperature,minutes,47.46666666666667,8,201705231
2017-05-30,273,GI#3,2,2_Water temperature,minutes,183.31666666666666,0,201705251
2017-06-07,270,GI#1,2,2_Water temperature,minutes,275.15,0,NA
2017-06-08,270,GI#1,2,2_Water temperature,minutes,53.45,7,NA
2017-06-09,270,GI#1,2,2_Water temperature,minutes,97.16666666666667,3,201706081
2017-06-12,270,GI#1,2,2_Water temperature,minutes,105.61666666666666,2,201706092
2017-06-13,270,GI#1,2,2_Water temperature,minutes,97.13333333333334,3,201706092
2017-06-14,270,GI#1,2,2_Water temperature,minutes,112.11666666666666,1,201706131
2017-06-15,270,GI#1,2,2_Water temperature,minutes,91.93333333333334,3,201706142
2017-06-21,270,GI#1,2,2_Water temperature,minutes,110.93333333333334,1,201706161
2017-06-22,270,GI#1,2,2_Water temperature,minutes,59.38333333333333,7,201706211
2017-06-23,270,GI#1,2,2_Water temperature,minutes,81.53333333333333,4,201706221
2017-06-26,270,GI#1,2,2_Water temperature,minutes,100.9,2,201706231
2017-06-27,270,GI#1,2,2_Water temperature,minutes,90.56666666666666,3,201706261
2017-06-30,270,GI#1,2,2_Water temperature,minutes,89.85,4,201706271
2017-07-03,270,GI#1,2,2_Water temperature,minutes,79.5,5,201706271
2017-07-05,270,GI#1,2,2_Water temperature,minutes,93.06666666666666,3,201707031
2017-07-06,273,GI#3,2,2_Water temperature,minutes,137.06666666666666,0,201707031
2017-07-06,270,GI#1,2,2_Water temperature,minutes,84.31666666666666,4,201707031
2017-07-07,270,GI#1,2,2_Water temperature,minutes,196.21666666666667,0,201707061
2017-07-07,273,GI#3,2,2_Water temperature,minutes,202.7,0,201707031
2017-07-08,273,GI#3,2,2_Water temperature,minutes,149.95,0,201707031
2017-07-10,270,GI#1,2,2_Water temperature,minutes,201.91666666666666,0,201707081
2017-07-11,273,GI#3,2,2_Water temperature,minutes,168.21666666666667,0,201707031
2017-07-11,270,GI#1,2,2_Water temperature,minutes,70.71666666666667,5,201707101
2017-07-12,270,GI#1,2,2_Water temperature,minutes,326.76666666666665,0,201707111
2017-07-12,270,GI#1,2,2_Water temperature,minutes,326.76666666666665,0,201707121
2017-07-12,273,GI#3,2,2_Water temperature,minutes,355.85,0,201707031
2017-07-13,270,GI#1,2,2_Water temperature,minutes,331.45,0,201707122
2017-07-13,273,GI#3,2,2_Water temperature,minutes,152.43333333333334,0,201707031
2017-07-14,273,GI#3,2,2_Water temperature,minutes,119.5,1,201707031
2017-07-17,270,GI#1,2,2_Water temperature,minutes,102.26666666666667,2,201707132
2017-07-18,270,GI#1,2,2_Water temperature,minutes,184.23333333333332,0,201707171
2017-07-19,270,GI#1,2,2_Water temperature,minutes,199.03333333333333,0,201707181
2017-07-20,270,GI#1,2,2_Water temperature,minutes,83.1,4,201707181
2017-07-22,273,GI#3,2,2_Water temperature,minutes,104.8,2,NA
2017-07-24,273,GI#3,2,2_Water temperature,minutes,384.4,0,201707031
2017-07-25,273,GI#3,2,2_Water temperature,minutes,115.38333333333334,1,NA
2017-07-26,270,GI#1,2,2_Water temperature,minutes,122.33333333333333,0,201707191
2017-07-26,273,GI#3,2,2_Water temperature,minutes,85.16666666666667,4,201707031
2017-07-27,273,GI#3,2,2_Water temperature,minutes,185.03333333333333,0,201707031
2017-07-28,273,GI#3,2,2_Water temperature,minutes,354.3,0,201707031
2017-07-29,273,GI#3,2,2_Water temperature,minutes,236.9,0,201707031
2017-07-31,273,GI#3,2,2_Water temperature,minutes,296.1333333333333,0,201707031
2017-08-02,273,GI#3,2,2_Water temperature,minutes,158.48333333333332,0,201707031
2017-08-07,270,GI#1,2,2_Water temperature,minutes,120.46666666666667,0,201708031
